Value,Correlation,Variable,Reference,Comparison
Union,0.6841,EECLASS,depression,anxiety
Unknown,0.7964,EECLASS,depression,anxiety
Active Full Time,0.5555,EESTATU,depression,anxiety
Active Part Time or Seasonal,0.4696,EESTATU,depression,anxiety
Early Retiree,0.6005,EESTATU,depression,anxiety
Medicare Eligible Retiree,0.6668,EESTATU,depression,anxiety
Retiree (status unknown),0.4955,EESTATU,depression,anxiety
COBRA Continuee,0.5156,EESTATU,depression,anxiety
Long Term Disability,0.4541,EESTATU,depression,anxiety
Surviving Spouse/Depend.,0.5855,EESTATU,depression,anxiety
Other/Unknown,0.4644,EESTATU,depression,anxiety
"Manufacturing, Durable Goods",0.7201,INDSTRY,depression,bipolar
"Manufacturing, Nondurable Goods",0.6847,INDSTRY,depression,bipolar
"Transportation, Communications, Utilities",0.8336,INDSTRY,depression,bipolar
Retail Trade,0.6622,INDSTRY,depression,bipolar
"Finance, Insurance, Real Estate",0.7218,INDSTRY,depression,bipolar
Services,0.7831,INDSTRY,depression,bipolar
Wholesale,0.4102,INDSTRY,depression,bipolar
"Oil & Gas Extraction, Mining",0.4713,INDSTRY,depression,bipolar
"Agriculture, Forestry, Fishing",NA,INDSTRY,depression,bipolar
Construction,0.4906,INDSTRY,depression,bipolar
Salary Non-union,0.6681,EECLASS,depression,bipolar
Salary Union,0.4824,EECLASS,depression,bipolar
Salary Other,0.5543,EECLASS,depression,bipolar
Hourly Non-union,0.7517,EECLASS,depression,bipolar
Hourly Union,0.7674,EECLASS,depression,bipolar
Hourly Other,0.5959,EECLASS,depression,bipolar
Non-union,0.8163,EECLASS,depression,bipolar
Union,0.7214,EECLASS,depression,bipolar
Unknown,0.6789,EECLASS,depression,bipolar
Active Full Time,0.5418,EESTATU,depression,bipolar
Active Part Time or Seasonal,0.2998,EESTATU,depression,bipolar
Early Retiree,0.5889,EESTATU,depression,bipolar
Medicare Eligible Retiree,0.5362,EESTATU,depression,bipolar
Retiree (status unknown),0.7039,EESTATU,depression,bipolar
COBRA Continuee,0.2383,EESTATU,depression,bipolar
Long Term Disability,0.6548,EESTATU,depression,bipolar
Surviving Spouse/Depend.,0.7224,EESTATU,depression,bipolar
Other/Unknown,0.4985,EESTATU,depression,bipolar
"Manufacturing, Durable Goods",0.7719,INDSTRY,depression,diabetes
"Manufacturing, Nondurable Goods",0.8066,INDSTRY,depression,diabetes
"Transportation, Communications, Utilities",0.7302,INDSTRY,depression,diabetes
Retail Trade,0.6572,INDSTRY,depression,diabetes
"Finance, Insurance, Real Estate",0.7908,INDSTRY,depression,diabetes
Services,0.7038,INDSTRY,depression,diabetes
Wholesale,0.5837,INDSTRY,depression,diabetes
"Oil & Gas Extraction, Mining",0.7464,INDSTRY,depression,diabetes
"Agriculture, Forestry, Fishing",-0.0286,INDSTRY,depression,diabetes
Construction,0.4892,INDSTRY,depression,diabetes
Salary Non-union,0.5013,EECLASS,depression,diabetes
Salary Union,0.5772,EECLASS,depression,diabetes
Salary Other,0.8207,EECLASS,depression,diabetes
Hourly Non-union,0.7193,EECLASS,depression,diabetes
Hourly Union,0.7711,EECLASS,depression,diabetes
Hourly Other,0.6518,EECLASS,depression,diabetes
Non-union,0.5798,EECLASS,depression,diabetes
Union,0.82,EECLASS,depression,diabetes
Unknown,0.8091,EECLASS,depression,diabetes
Active Full Time,-0.0049,EESTATU,depression,diabetes
Active Part Time or Seasonal,0.4987,EESTATU,depression,diabetes
Early Retiree,0.5796,EESTATU,depression,diabetes
Medicare Eligible Retiree,0.5575,EESTATU,depression,diabetes
Retiree (status unknown),0.5951,EESTATU,depression,diabetes
COBRA Continuee,0.2659,EESTATU,depression,diabetes
Long Term Disability,0.2678,EESTATU,depression,diabetes
Surviving Spouse/Depend.,0.7501,EESTATU,depression,diabetes
Other/Unknown,0.4522,EESTATU,depression,diabetes
"Manufacturing, Durable Goods",0.8575,INDSTRY,depression,drug_dependence
"Manufacturing, Nondurable Goods",0.8045,INDSTRY,depression,drug_dependence
"Transportation, Communications, Utilities",0.8113,INDSTRY,depression,drug_dependence
Retail Trade,0.8114,INDSTRY,depression,drug_dependence
"Finance, Insurance, Real Estate",0.8636,INDSTRY,depression,drug_dependence
Services,0.8608,INDSTRY,depression,drug_dependence
Wholesale,0.6426,INDSTRY,depression,drug_dependence
"Oil & Gas Extraction, Mining",0.7606,INDSTRY,depression,drug_dependence
"Agriculture, Forestry, Fishing",-0.0286,INDSTRY,depression,drug_dependence
Construction,0.7093,INDSTRY,depression,drug_dependence
Salary Non-union,0.6118,EECLASS,depression,drug_dependence
Salary Union,0.5503,EECLASS,depression,drug_dependence
Salary Other,0.6825,EECLASS,depression,drug_dependence
Hourly Non-union,0.7784,EECLASS,depression,drug_dependence
Hourly Union,0.9207,EECLASS,depression,drug_dependence
Hourly Other,0.5959,EECLASS,depression,drug_dependence
Non-union,0.7551,EECLASS,depression,drug_dependence
Union,0.7569,EECLASS,depression,drug_dependence
Unknown,0.919,EECLASS,depression,drug_dependence
Active Full Time,0.459,EESTATU,depression,drug_dependence
Active Part Time or Seasonal,0.6266,EESTATU,depression,drug_dependence
Early Retiree,0.6279,EESTATU,depression,drug_dependence
Medicare Eligible Retiree,0.7407,EESTATU,depression,drug_dependence
Retiree (status unknown),0.5987,EESTATU,depression,drug_dependence
COBRA Continuee,0.219,EESTATU,depression,drug_dependence
Long Term Disability,0.6412,EESTATU,depression,drug_dependence
Surviving Spouse/Depend.,0.7091,EESTATU,depression,drug_dependence
Other/Unknown,0.5709,EESTATU,depression,drug_dependence
"Manufacturing, Durable Goods",0.743,INDSTRY,depression,hypertension
"Manufacturing, Nondurable Goods",0.8368,INDSTRY,depression,hypertension
"Transportation, Communications, Utilities",0.696,INDSTRY,depression,hypertension
Retail Trade,0.6535,INDSTRY,depression,hypertension
"Finance, Insurance, Real Estate",0.6887,INDSTRY,depression,hypertension
Services,0.7217,INDSTRY,depression,hypertension
Wholesale,0.4935,INDSTRY,depression,hypertension
"Oil & Gas Extraction, Mining",0.7396,INDSTRY,depression,hypertension
"Agriculture, Forestry, Fishing",-0.02,INDSTRY,depression,hypertension
Construction,0.5695,INDSTRY,depression,hypertension
Salary Non-union,0.5594,EECLASS,depression,hypertension
Salary Union,0.5109,EECLASS,depression,hypertension
Salary Other,0.746,EECLASS,depression,hypertension
Hourly Non-union,0.7348,EECLASS,depression,hypertension
Hourly Union,0.76,EECLASS,depression,hypertension
Hourly Other,0.6698,EECLASS,depression,hypertension
Non-union,0.6117,EECLASS,depression,hypertension
Union,0.7949,EECLASS,depression,hypertension
Unknown,0.7681,EECLASS,depression,hypertension
Active Full Time,-0.2548,EESTATU,depression,hypertension
Active Part Time or Seasonal,0.7282,EESTATU,depression,hypertension
Early Retiree,0.6259,EESTATU,depression,hypertension
Medicare Eligible Retiree,0.7304,EESTATU,depression,hypertension
Retiree (status unknown),0.6527,EESTATU,depression,hypertension
COBRA Continuee,0.2888,EESTATU,depression,hypertension
Long Term Disability,0.3094,EESTATU,depression,hypertension
Surviving Spouse/Depend.,0.7287,EESTATU,depression,hypertension
Other/Unknown,0.5426,EESTATU,depression,hypertension
"Manufacturing, Durable Goods",0.7161,INDSTRY,depression,lipid_metabolism
"Manufacturing, Nondurable Goods",0.8341,INDSTRY,depression,lipid_metabolism
"Transportation, Communications, Utilities",0.6844,INDSTRY,depression,lipid_metabolism
Retail Trade,0.6329,INDSTRY,depression,lipid_metabolism
"Finance, Insurance, Real Estate",0.7067,INDSTRY,depression,lipid_metabolism
Services,0.7883,INDSTRY,depression,lipid_metabolism
Wholesale,0.1956,INDSTRY,depression,lipid_metabolism
"Oil & Gas Extraction, Mining",0.6803,INDSTRY,depression,lipid_metabolism
"Agriculture, Forestry, Fishing",-0.02,INDSTRY,depression,lipid_metabolism
Construction,0.4109,INDSTRY,depression,lipid_metabolism
Salary Non-union,0.5311,EECLASS,depression,lipid_metabolism
Salary Union,0.5311,EECLASS,depression,lipid_metabolism
Salary Other,0.852,EECLASS,depression,lipid_metabolism
Hourly Non-union,0.6421,EECLASS,depression,lipid_metabolism
Hourly Union,0.7614,EECLASS,depression,lipid_metabolism
Hourly Other,0.5939,EECLASS,depression,lipid_metabolism
Non-union,0.5736,EECLASS,depression,lipid_metabolism
Union,0.7006,EECLASS,depression,lipid_metabolism
Unknown,0.7956,EECLASS,depression,lipid_metabolism
Active Full Time,0.0833,EESTATU,depression,lipid_metabolism
Active Part Time or Seasonal,0.5102,EESTATU,depression,lipid_metabolism
Early Retiree,0.5529,EESTATU,depression,lipid_metabolism
Medicare Eligible Retiree,0.5483,EESTATU,depression,lipid_metabolism
Retiree (status unknown),0.6605,EESTATU,depression,lipid_metabolism
COBRA Continuee,0.405,EESTATU,depression,lipid_metabolism
Long Term Disability,0.376,EESTATU,depression,lipid_metabolism
Surviving Spouse/Depend.,0.7367,EESTATU,depression,lipid_metabolism
Other/Unknown,0.4046,EESTATU,depression,lipid_metabolism
"Manufacturing, Durable Goods",0.7688,INDSTRY,depression,obesity
"Manufacturing, Nondurable Goods",0.7615,INDSTRY,depression,obesity
"Transportation, Communications, Utilities",0.828,INDSTRY,depression,obesity
Retail Trade,0.602,INDSTRY,depression,obesity
"Finance, Insurance, Real Estate",0.6891,INDSTRY,depression,obesity
Services,0.6883,INDSTRY,depression,obesity
Wholesale,0.3746,INDSTRY,depression,obesity
"Oil & Gas Extraction, Mining",0.5109,INDSTRY,depression,obesity
"Agriculture, Forestry, Fishing",-0.02,INDSTRY,depression,obesity
Construction,0.4785,INDSTRY,depression,obesity
Salary Non-union,0.4878,EECLASS,depression,obesity
Salary Union,0.4658,EECLASS,depression,obesity
Salary Other,0.8829,EECLASS,depression,obesity
Hourly Non-union,0.7252,EECLASS,depression,obesity
Hourly Union,0.8229,EECLASS,depression,obesity
Hourly Other,0.6373,EECLASS,depression,obesity
Non-union,0.453,EECLASS,depression,obesity
Union,0.7519,EECLASS,depression,obesity
Unknown,0.8091,EECLASS,depression,obesity
Active Full Time,0.2311,EESTATU,depression,obesity
Active Part Time or Seasonal,0.5194,EESTATU,depression,obesity
Early Retiree,0.6585,EESTATU,depression,obesity
Medicare Eligible Retiree,0.5982,EESTATU,depression,obesity
Retiree (status unknown),0.4786,EESTATU,depression,obesity
COBRA Continuee,0.0697,EESTATU,depression,obesity
Long Term Disability,0.3563,EESTATU,depression,obesity
Surviving Spouse/Depend.,0.6134,EESTATU,depression,obesity
Other/Unknown,0.3392,EESTATU,depression,obesity
"Manufacturing, Durable Goods",0.674,INDSTRY,depression,schizophrenia
"Manufacturing, Nondurable Goods",0.4459,INDSTRY,depression,schizophrenia
"Transportation, Communications, Utilities",0.6174,INDSTRY,depression,schizophrenia
Retail Trade,0.3526,INDSTRY,depression,schizophrenia
"Finance, Insurance, Real Estate",0.4638,INDSTRY,depression,schizophrenia
Services,0.3558,INDSTRY,depression,schizophrenia
Wholesale,-0.0121,INDSTRY,depression,schizophrenia
"Oil & Gas Extraction, Mining",0.3529,INDSTRY,depression,schizophrenia
"Agriculture, Forestry, Fishing",-0.02,INDSTRY,depression,schizophrenia
Construction,0.4565,INDSTRY,depression,schizophrenia
Salary Non-union,0.4945,EECLASS,depression,schizophrenia
Salary Union,0.5127,EECLASS,depression,schizophrenia
Salary Other,0.3936,EECLASS,depression,schizophrenia
Hourly Non-union,0.5139,EECLASS,depression,schizophrenia
Hourly Union,0.6498,EECLASS,depression,schizophrenia
Hourly Other,0.1872,EECLASS,depression,schizophrenia
Non-union,0.3612,EECLASS,depression,schizophrenia
Union,0.4733,EECLASS,depression,schizophrenia
Unknown,0.6239,EECLASS,depression,schizophrenia
Active Full Time,0.4277,EESTATU,depression,schizophrenia
Active Part Time or Seasonal,0.2678,EESTATU,depression,schizophrenia
Early Retiree,0.5039,EESTATU,depression,schizophrenia
Medicare Eligible Retiree,0.4866,EESTATU,depression,schizophrenia
Retiree (status unknown),0.4159,EESTATU,depression,schizophrenia
COBRA Continuee,0.302,EESTATU,depression,schizophrenia
Long Term Disability,0.235,EESTATU,depression,schizophrenia
Surviving Spouse/Depend.,0.4782,EESTATU,depression,schizophrenia
Other/Unknown,0.2745,EESTATU,depression,schizophrenia
"Manufacturing, Durable Goods",0.1399,INDSTRY,depression,suicide
"Manufacturing, Nondurable Goods",0.2722,INDSTRY,depression,suicide
"Transportation, Communications, Utilities",0.2243,INDSTRY,depression,suicide
Retail Trade,0.1471,INDSTRY,depression,suicide
"Finance, Insurance, Real Estate",0.1396,INDSTRY,depression,suicide
Services,0.4623,INDSTRY,depression,suicide
Wholesale,0.3461,INDSTRY,depression,suicide
"Oil & Gas Extraction, Mining",0.3497,INDSTRY,depression,suicide
"Agriculture, Forestry, Fishing",NA,INDSTRY,depression,suicide
Construction,0.3643,INDSTRY,depression,suicide
Salary Non-union,0.1138,EECLASS,depression,suicide
Salary Union,0.2468,EECLASS,depression,suicide
Salary Other,0.3653,EECLASS,depression,suicide
Hourly Non-union,0.1084,EECLASS,depression,suicide
Hourly Union,0.491,EECLASS,depression,suicide
Hourly Other,0.3442,EECLASS,depression,suicide
Non-union,0.1685,EECLASS,depression,suicide
Union,0.1754,EECLASS,depression,suicide
Unknown,0.3893,EECLASS,depression,suicide
Active Full Time,0.1886,EESTATU,depression,suicide
Active Part Time or Seasonal,0.135,EESTATU,depression,suicide
Early Retiree,-0.0411,EESTATU,depression,suicide
Medicare Eligible Retiree,0.2451,EESTATU,depression,suicide
Retiree (status unknown),0.2892,EESTATU,depression,suicide
COBRA Continuee,-0.0099,EESTATU,depression,suicide
Long Term Disability,0.0541,EESTATU,depression,suicide
Surviving Spouse/Depend.,0.2678,EESTATU,depression,suicide
Other/Unknown,0.0365,EESTATU,depression,suicide
"Manufacturing, Durable Goods",0.5057,INDSTRY,regional_enteritis,depression
"Manufacturing, Nondurable Goods",0.4276,INDSTRY,regional_enteritis,depression
"Transportation, Communications, Utilities",0.4567,INDSTRY,regional_enteritis,depression
Retail Trade,0.4219,INDSTRY,regional_enteritis,depression
"Finance, Insurance, Real Estate",0.6703,INDSTRY,regional_enteritis,depression
Services,0.6851,INDSTRY,regional_enteritis,depression
"Oil & Gas Extraction, Mining",0.3475,INDSTRY,regional_enteritis,depression
"Agriculture, Forestry, Fishing",NA,INDSTRY,regional_enteritis,depression
Construction,0.452,INDSTRY,regional_enteritis,depression
Wholesale,0.2374,INDSTRY,regional_enteritis,depression
Salary Non-union,0.5439,EECLASS,regional_enteritis,depression
Salary Union,0.452,EECLASS,regional_enteritis,depression
Salary Other,0.7148,EECLASS,regional_enteritis,depression
Hourly Non-union,0.3876,EECLASS,regional_enteritis,depression
Hourly Union,0.6615,EECLASS,regional_enteritis,depression
Hourly Other,0.325,EECLASS,regional_enteritis,depression
Non-union,0.3353,EECLASS,regional_enteritis,depression
Union,0.5842,EECLASS,regional_enteritis,depression
Unknown,0.4624,EECLASS,regional_enteritis,depression
Active Full Time,0.0089,EESTATU,regional_enteritis,depression
Active Part Time or Seasonal,0.1232,EESTATU,regional_enteritis,depression
Early Retiree,0.3129,EESTATU,regional_enteritis,depression
Medicare Eligible Retiree,0.4819,EESTATU,regional_enteritis,depression
COBRA Continuee,-0.0288,EESTATU,regional_enteritis,depression
Long Term Disability,0.4124,EESTATU,regional_enteritis,depression
Surviving Spouse/Depend.,0.4829,EESTATU,regional_enteritis,depression
Other/Unknown,0.3284,EESTATU,regional_enteritis,depression
Retiree (status unknown),0.3633,EESTATU,regional_enteritis,depression
"Manufacturing, Durable Goods",0.446,INDSTRY,regional_enteritis,alcohol_dependence
"Manufacturing, Nondurable Goods",0.5036,INDSTRY,regional_enteritis,alcohol_dependence
"Transportation, Communications, Utilities",0.299,INDSTRY,regional_enteritis,alcohol_dependence
Retail Trade,0.6199,INDSTRY,regional_enteritis,alcohol_dependence
"Finance, Insurance, Real Estate",0.5765,INDSTRY,regional_enteritis,alcohol_dependence
Services,0.5941,INDSTRY,regional_enteritis,alcohol_dependence
"Oil & Gas Extraction, Mining",0.3645,INDSTRY,regional_enteritis,alcohol_dependence
"Agriculture, Forestry, Fishing",NA,INDSTRY,regional_enteritis,alcohol_dependence
Construction,0.3372,INDSTRY,regional_enteritis,alcohol_dependence
Wholesale,0.2963,INDSTRY,regional_enteritis,alcohol_dependence
Salary Non-union,0.4848,EECLASS,regional_enteritis,alcohol_dependence
Salary Union,0.4816,EECLASS,regional_enteritis,alcohol_dependence
Salary Other,0.4483,EECLASS,regional_enteritis,alcohol_dependence
Hourly Non-union,0.4023,EECLASS,regional_enteritis,alcohol_dependence
Hourly Union,0.5145,EECLASS,regional_enteritis,alcohol_dependence
Hourly Other,0.3596,EECLASS,regional_enteritis,alcohol_dependence
Non-union,0.4105,EECLASS,regional_enteritis,alcohol_dependence
Union,0.514,EECLASS,regional_enteritis,alcohol_dependence
Unknown,0.4927,EECLASS,regional_enteritis,alcohol_dependence
Active Full Time,0.242,EESTATU,regional_enteritis,alcohol_dependence
Active Part Time or Seasonal,0.3047,EESTATU,regional_enteritis,alcohol_dependence
Early Retiree,0.1899,EESTATU,regional_enteritis,alcohol_dependence
Medicare Eligible Retiree,0.3706,EESTATU,regional_enteritis,alcohol_dependence
COBRA Continuee,0.3517,EESTATU,regional_enteritis,alcohol_dependence
Long Term Disability,0.3206,EESTATU,regional_enteritis,alcohol_dependence
Surviving Spouse/Depend.,0.3618,EESTATU,regional_enteritis,alcohol_dependence
Other/Unknown,0.1886,EESTATU,regional_enteritis,alcohol_dependence
Retiree (status unknown),0.3369,EESTATU,regional_enteritis,alcohol_dependence
"Manufacturing, Durable Goods",0.4227,INDSTRY,regional_enteritis,anxiety
"Manufacturing, Nondurable Goods",0.5395,INDSTRY,regional_enteritis,anxiety
"Transportation, Communications, Utilities",0.4663,INDSTRY,regional_enteritis,anxiety
Retail Trade,0.503,INDSTRY,regional_enteritis,anxiety
"Finance, Insurance, Real Estate",0.5997,INDSTRY,regional_enteritis,anxiety
Services,0.6724,INDSTRY,regional_enteritis,anxiety
"Oil & Gas Extraction, Mining",0.4527,INDSTRY,regional_enteritis,anxiety
"Agriculture, Forestry, Fishing",NA,INDSTRY,regional_enteritis,anxiety
Construction,0.5637,INDSTRY,regional_enteritis,anxiety
Wholesale,0.2733,INDSTRY,regional_enteritis,anxiety
Salary Non-union,0.5712,EECLASS,regional_enteritis,anxiety
Salary Union,0.4516,EECLASS,regional_enteritis,anxiety
Salary Other,0.5835,EECLASS,regional_enteritis,anxiety
Hourly Non-union,0.4692,EECLASS,regional_enteritis,anxiety
Hourly Union,0.6521,EECLASS,regional_enteritis,anxiety
Hourly Other,0.519,EECLASS,regional_enteritis,anxiety
Non-union,0.5253,EECLASS,regional_enteritis,anxiety
Union,0.3765,EECLASS,regional_enteritis,anxiety
Unknown,0.5942,EECLASS,regional_enteritis,anxiety
Active Full Time,0.1537,EESTATU,regional_enteritis,anxiety
Active Part Time or Seasonal,0.1846,EESTATU,regional_enteritis,anxiety
Early Retiree,0.213,EESTATU,regional_enteritis,anxiety
Medicare Eligible Retiree,0.382,EESTATU,regional_enteritis,anxiety
COBRA Continuee,0.0366,EESTATU,regional_enteritis,anxiety
Long Term Disability,0.3552,EESTATU,regional_enteritis,anxiety
Surviving Spouse/Depend.,0.4137,EESTATU,regional_enteritis,anxiety
Other/Unknown,0.3422,EESTATU,regional_enteritis,anxiety
Retiree (status unknown),0.4195,EESTATU,regional_enteritis,anxiety
"Manufacturing, Durable Goods",0.5867,INDSTRY,regional_enteritis,bipolar
"Manufacturing, Nondurable Goods",0.3999,INDSTRY,regional_enteritis,bipolar
"Transportation, Communications, Utilities",0.3597,INDSTRY,regional_enteritis,bipolar
Retail Trade,0.4017,INDSTRY,regional_enteritis,bipolar
"Finance, Insurance, Real Estate",0.7588,INDSTRY,regional_enteritis,bipolar
Services,0.6726,INDSTRY,regional_enteritis,bipolar
"Oil & Gas Extraction, Mining",0.3527,INDSTRY,regional_enteritis,bipolar
"Agriculture, Forestry, Fishing",NA,INDSTRY,regional_enteritis,bipolar
Construction,0.4684,INDSTRY,regional_enteritis,bipolar
Wholesale,0.2562,INDSTRY,regional_enteritis,bipolar
Salary Non-union,0.3101,EECLASS,regional_enteritis,bipolar
Salary Union,0.4821,EECLASS,regional_enteritis,bipolar
Salary Other,0.4121,EECLASS,regional_enteritis,bipolar
Hourly Non-union,0.2992,EECLASS,regional_enteritis,bipolar
Hourly Union,0.541,EECLASS,regional_enteritis,bipolar
Hourly Other,0.4528,EECLASS,regional_enteritis,bipolar
Non-union,0.5018,EECLASS,regional_enteritis,bipolar
Union,0.5181,EECLASS,regional_enteritis,bipolar
Unknown,0.5697,EECLASS,regional_enteritis,bipolar
Active Full Time,-0.0326,EESTATU,regional_enteritis,bipolar
Active Part Time or Seasonal,0.3152,EESTATU,regional_enteritis,bipolar
Early Retiree,0.4429,EESTATU,regional_enteritis,bipolar
Medicare Eligible Retiree,0.3914,EESTATU,regional_enteritis,bipolar
COBRA Continuee,0.5804,EESTATU,regional_enteritis,bipolar
Long Term Disability,0.3821,EESTATU,regional_enteritis,bipolar
Surviving Spouse/Depend.,0.4589,EESTATU,regional_enteritis,bipolar
Other/Unknown,0.3378,EESTATU,regional_enteritis,bipolar
Retiree (status unknown),0.3591,EESTATU,regional_enteritis,bipolar
"Manufacturing, Durable Goods",0.5168,INDSTRY,regional_enteritis,diabetes
"Manufacturing, Nondurable Goods",0.5577,INDSTRY,regional_enteritis,diabetes
"Transportation, Communications, Utilities",0.5958,INDSTRY,regional_enteritis,diabetes
Retail Trade,0.5036,INDSTRY,regional_enteritis,diabetes
"Finance, Insurance, Real Estate",0.7389,INDSTRY,regional_enteritis,diabetes
Services,0.5364,INDSTRY,regional_enteritis,diabetes
"Oil & Gas Extraction, Mining",0.5673,INDSTRY,regional_enteritis,diabetes
"Agriculture, Forestry, Fishing",NA,INDSTRY,regional_enteritis,diabetes
Construction,0.399,INDSTRY,regional_enteritis,diabetes
Wholesale,0.216,INDSTRY,regional_enteritis,diabetes
Salary Non-union,0.3728,EECLASS,regional_enteritis,diabetes
Salary Union,0.4478,EECLASS,regional_enteritis,diabetes
Salary Other,0.6619,EECLASS,regional_enteritis,diabetes
Hourly Non-union,0.4161,EECLASS,regional_enteritis,diabetes
Hourly Union,0.6335,EECLASS,regional_enteritis,diabetes
Hourly Other,0.3535,EECLASS,regional_enteritis,diabetes
Non-union,0.4314,EECLASS,regional_enteritis,diabetes
Union,0.6409,EECLASS,regional_enteritis,diabetes
Unknown,0.513,EECLASS,regional_enteritis,diabetes
Active Full Time,-0.171,EESTATU,regional_enteritis,diabetes
Active Part Time or Seasonal,0.2686,EESTATU,regional_enteritis,diabetes
Early Retiree,0.5234,EESTATU,regional_enteritis,diabetes
Medicare Eligible Retiree,0.3006,EESTATU,regional_enteritis,diabetes
COBRA Continuee,0.0542,EESTATU,regional_enteritis,diabetes
Long Term Disability,0.106,EESTATU,regional_enteritis,diabetes
Surviving Spouse/Depend.,0.4544,EESTATU,regional_enteritis,diabetes
Other/Unknown,0.4104,EESTATU,regional_enteritis,diabetes
Retiree (status unknown),0.2486,EESTATU,regional_enteritis,diabetes
